Model,9J7V_WT,9J7V_R83C,9J7V_G188R
177.0,4.16399,4.04763,4.4123
178.0,4.10828,4.00825,4.44202
179.0,4.07221,3.96389,4.35104
180.0,4.07023,3.96843,4.43688
181.0,4.04502,4.02731,4.47856
182.0,4.00631,4.06699,4.41413
183.0,4.01697,4.02536,4.37557
184.0,3.97232,4.06113,4.40922
185.0,3.93877,4.08923,4.36048
186.0,3.96285,4.10314,4.33875
187.0,3.97915,4.11123,4.41421
188.0,3.98715,4.12949,4.34646
189.0,3.99535,4.12642,4.28305
190.0,4.00699,4.09927,4.28021
191.0,3.99458,4.09,4.35103
192.0,3.99058,4.12219,4.30082
193.0,4.00594,4.09434,4.28641
194.0,3.98831,4.10822,4.26625
195.0,4.00302,4.20525,4.22607
196.0,4.02609,4.25496,4.26415
197.0,4.05146,4.2311,4.28464
198.0,4.08192,4.21163,4.33194
199.0,4.10537,4.2274,4.38356
200.0,4.08877,4.25833,4.4192
201.0,4.12255,4.22572,4.45711
202.0,4.10789,4.24875,4.52521
203.0,4.1628,4.21,4.55945
204.0,4.14868,4.25272,4.4792
205.0,4.18425,4.2662,4.5448
206.0,4.18948,4.26123,4.49584
207.0,4.19839,4.28824,4.51789
208.0,4.14473,4.31791,4.50558
209.0,4.18662,4.36484,4.45966
210.0,4.23313,4.34977,4.40134
211.0,4.176,4.37306,4.42072
212.0,4.20423,4.37656,4.45182
213.0,4.23417,4.34804,4.50018
214.0,4.25132,4.34765,4.46947
215.0,4.24744,4.31056,4.53595
216.0,4.23343,4.33808,4.59324
217.0,4.23227,4.40542,4.63224
218.0,4.26423,4.37196,4.7148
219.0,4.28425,4.4337,4.6662
220.0,4.26918,4.43193,4.64957
221.0,4.27105,4.44188,4.58622
222.0,4.24486,4.42253,4.57891
223.0,4.25094,4.40792,4.60858
224.0,4.25848,4.4895,4.67889
225.0,4.26265,4.48896,4.77265
226.0,4.22251,4.53677,4.70263
227.0,4.24879,4.59691,4.73252
228.0,4.25119,4.67912,4.65804
229.0,4.21698,4.65701,4.72605
230.0,4.20809,4.65905,4.70494
231.0,4.21615,4.61112,4.61451
232.0,4.17999,4.70318,4.56316
233.0,4.18843,4.66061,4.49433
234.0,4.2138,4.66281,4.41199
235.0,4.26189,4.72641,4.39596
236.0,4.30782,4.67094,4.46772
237.0,4.33243,4.68562,4.44086
238.0,4.33741,4.6659,4.40647
239.0,4.33918,4.70623,4.47756
240.0,4.34352,4.69044,4.48146
241.0,4.37003,4.7109,4.39074
242.0,4.35734,4.75043,4.35725
243.0,4.36647,4.73495,4.42016
244.0,4.38807,4.69299,4.36564
245.0,4.38047,4.64581,4.42506
246.0,4.38235,4.63438,4.36231
247.0,4.37425,4.63082,4.45854
248.0,4.38654,4.5801,4.403
249.0,4.40685,4.55671,4.36483
250.0,4.43368,4.56782,4.38502
251.0,4.48687,4.56295,4.48872
252.0,4.4489,4.60854,4.46459
253.0,4.42145,4.69053,4.4534
254.0,4.41397,4.62157,4.43854
255.0,4.36833,4.66362,4.45806
256.0,4.33438,4.61563,4.5222
257.0,4.31562,4.61412,4.54469
258.0,4.34333,4.68076,4.48028
259.0,4.32615,4.63014,4.44788
260.0,4.35763,4.54127,4.4721
261.0,4.39568,4.49202,4.5011
262.0,4.39635,4.46185,4.45802
263.0,4.40935,4.46253,4.42568
264.0,4.43343,4.426,4.40049
265.0,4.4578,4.43287,4.39583
266.0,4.43866,4.43073,4.38631
267.0,4.44116,4.47093,4.32106
268.0,4.47306,4.49397,4.399
269.0,4.46255,4.45057,4.46282
270.0,4.43055,4.44675,4.49951
271.0,4.42291,4.3731,4.53963
272.0,4.37915,4.36759,4.59586
273.0,4.35555,4.39712,4.53162
274.0,4.37568,4.44693,4.57574
275.0,4.32933,4.44117,4.57128
276.0,4.34922,4.3894,4.61512
277.0,4.40387,4.30174,4.57213
278.0,4.38355,4.221,4.64164
279.0,4.40476,4.12159,4.66879
280.0,4.36132,4.17506,4.71327
281.0,4.35102,4.10061,4.81058
282.0,4.35329,4.12171,4.80004
283.0,4.3817,4.14112,4.798
284.0,4.39035,4.10624,4.83244
285.0,4.41909,4.08127,4.85371
286.0,4.47114,4.11701,4.91597
287.0,4.4591,4.04518,4.8651
288.0,4.50398,4.0835,4.85176
289.0,4.5009,4.04578,4.82863
290.0,4.48264,3.99058,4.83749
291.0,4.55337,4.11996,4.81154
292.0,4.54441,4.0721,4.79313
293.0,4.56988,4.01532,4.79084
294.0,4.5708,4.10246,4.77213
295.0,4.60495,4.06694,4.72598
296.0,4.61444,4.07216,4.7245
297.0,4.62816,4.12134,4.66746
298.0,4.6232,4.13439,4.71837
299.0,4.56503,4.16284,4.63213
300.0,4.5735,4.19783,4.67915
301.0,4.59895,4.17696,4.72236
302.0,4.62513,4.19575,4.66805
303.0,4.69194,4.15495,4.58021
304.0,4.70103,4.12152,4.59945
305.0,4.69212,4.10139,4.62878
306.0,4.61838,4.05828,4.57686
307.0,4.63969,4.04549,4.64568
308.0,4.61434,4.13902,4.66533
309.0,4.63784,4.20707,4.71385
310.0,4.62982,4.18772,4.63611
311.0,4.64208,4.23145,4.58891
312.0,4.65483,4.281,4.72063
313.0,4.65668,4.33571,4.75518
314.0,4.71647,4.3388,4.73562
315.0,4.73072,4.3594,4.69509
316.0,4.7425,4.3421,4.6537
317.0,4.75652,4.43838,4.58458
318.0,4.78037,4.40251,4.53212
319.0,4.76946,4.48159,4.46565
320.0,4.76874,4.55782,4.53629
321.0,4.74951,4.51867,4.48941
322.0,4.74718,4.54724,4.56475
323.0,4.73981,4.56767,4.61494
324.0,4.74216,4.51815,4.52803
325.0,4.7444,4.46992,4.54964
326.0,4.69572,4.47226,4.62428
327.0,4.70663,4.51401,4.55201
328.0,4.73613,4.6058,4.46201
329.0,4.79358,4.55424,4.40186
330.0,4.79419,4.66628,4.4626
331.0,4.79826,4.6267,4.39966
332.0,4.77049,4.71063,4.3352
333.0,4.83959,4.75849,4.30364
334.0,4.82815,4.84684,4.35983
335.0,4.79749,4.77846,4.3557
336.0,4.7831,4.74146,4.43473
337.0,4.71531,4.8149,4.48964
338.0,4.69016,4.75492,4.59782
339.0,4.72621,4.80729,4.67982
340.0,4.72481,4.8346,4.56993
341.0,4.72096,4.82733,4.62645
342.0,4.69946,4.81698,4.58518
343.0,4.69171,4.78531,4.62311
344.0,4.7591,4.83674,4.67426
345.0,4.78566,4.86414,4.71333
346.0,4.8298,4.86608,4.6259
347.0,4.87243,4.95596,4.59332
348.0,4.90814,4.99632,4.58922
349.0,4.89995,5.03174,4.69196
350.0,4.92107,5.00805,4.70935
351.0,4.94894,4.94884,4.78394
352.0,4.94891,5.02388,4.70676
353.0,4.87169,5.09633,4.67525
354.0,4.90857,5.07774,4.62696
355.0,4.88079,4.9826,4.64978
356.0,4.86662,4.90574,4.59523
357.0,4.81835,4.878,4.68177
358.0,4.85908,4.87377,4.63132
359.0,4.88066,4.79276,4.54011
360.0,4.86483,4.86466,4.48617
361.0,4.83602,4.75676,4.57382
362.0,4.8445,4.89293,4.59781
363.0,4.85333,4.95661,4.59809
364.0,4.8958,5.00592,4.59232
365.0,4.88607,4.97802,4.57284
366.0,4.87049,5.06031,4.61562
367.0,4.84108,5.03445,4.61258
368.0,4.82487,5.05908,4.63522
369.0,4.86477,5.05509,4.56521
370.0,4.90085,5.0618,4.53244
371.0,4.89716,5.03482,4.44034
372.0,4.9391,5.00104,4.50999
373.0,4.9307,5.00537,4.46913
374.0,4.9014,5.05551,4.45618
375.0,4.90726,5.0872,4.48302
376.0,4.94749,5.1503,4.56001
377.0,4.95122,5.22451,4.63827
378.0,4.89932,5.2339,4.61378
379.0,4.91361,5.24874,4.5579
380.0,4.91071,5.27258,4.48265
381.0,4.92522,5.27016,4.42779
382.0,5.01251,5.21526,4.36545
383.0,4.98452,5.15407,4.31595
384.0,4.95451,5.05653,4.37405
385.0,4.9376,5.05388,4.42859
386.0,4.95295,5.10544,4.34199
387.0,4.93106,5.06587,4.26998
388.0,4.92491,4.98272,4.26795
389.0,4.95122,5.06507,4.27573
390.0,4.94132,5.0689,4.27811
391.0,4.97219,4.97724,4.34887
392.0,4.98972,4.97629,4.40563
393.0,4.98814,4.90744,4.34323
394.0,4.94192,4.80537,4.43427
395.0,4.9553,4.86296,4.50208
396.0,4.91859,4.92586,4.53648
397.0,4.88541,4.93029,4.4296
398.0,4.91906,4.86617,4.46157
399.0,4.90031,4.80656,4.50762
400.0,4.87657,4.81182,4.45429
401.0,4.91356,4.83982,4.41453
402.0,4.90244,4.81307,4.34098
403.0,4.89768,4.90633,4.35374
404.0,4.89158,4.88526,4.33856
405.0,4.83641,5.00676,4.34293
406.0,4.84721,5.02585,4.34174
407.0,4.7938,5.00479,4.31882
408.0,4.7673,4.93688,4.2865
409.0,4.78011,4.97495,4.27506
410.0,4.81428,4.9165,4.23841
411.0,4.85621,4.93017,4.29002
412.0,4.84856,4.91088,4.34715
413.0,4.87422,4.8675,4.45057
414.0,4.86571,4.96685,4.35753
415.0,4.91955,4.98766,4.3076
416.0,4.90077,4.92615,4.29002
417.0,4.89997,4.96294,4.35092
418.0,4.8583,5.00232,4.31954
419.0,4.82495,4.92145,4.29513
420.0,4.86636,5.03522,4.34356
421.0,4.80523,5.05724,4.40133
422.0,4.81254,5.13111,4.4497
423.0,4.74225,5.20517,4.4589
424.0,4.74436,5.24283,4.38497
425.0,4.75187,5.34528,4.43448
426.0,4.74071,5.36828,4.36503
427.0,4.76721,5.30178,4.33506
428.0,4.76135,5.37218,4.39847
429.0,4.80841,5.39717,4.34053
430.0,4.7867,5.49159,4.33305
431.0,4.74636,5.42879,4.3105
432.0,4.73734,5.34007,4.267
433.0,4.72482,5.26293,4.29486
434.0,4.80791,5.2074,4.22697
435.0,4.78394,5.19954,4.2205
436.0,4.85961,5.23309,4.1984
437.0,4.8532,5.28934,4.25199
438.0,4.87821,5.31734,4.20542
439.0,4.89097,5.31671,4.13986
440.0,4.96756,5.26388,4.13345
441.0,4.93354,5.33693,4.0904
442.0,4.94339,5.38615,4.06167
443.0,4.9727,5.47283,4.0628
444.0,4.94341,5.51127,3.99622
445.0,4.98785,5.57081,4.01224
446.0,4.9113,5.53455,4.05324
447.0,4.90744,5.42824,4.1388
448.0,4.89298,5.3308,4.13478
449.0,4.93208,5.2585,4.23941
450.0,4.9789,5.36658,4.28614
451.0,4.96785,5.37094,4.32732
452.0,4.91179,5.26123,4.36704
453.0,4.94975,5.29603,4.38338
454.0,4.98745,5.2791,4.37591
455.0,5.01009,5.18992,4.31948
456.0,5.05751,5.20166,4.23761
457.0,5.06559,5.27403,4.22017
458.0,5.02267,5.28526,4.18196
459.0,5.05882,5.3109,4.19749
460.0,5.08593,5.29123,4.31122
461.0,5.06338,5.34353,4.20353
462.0,5.11228,5.32857,4.19251
463.0,5.15341,5.25322,4.20288
464.0,5.21459,5.32563,4.27925
465.0,5.26502,5.28923,4.30865
466.0,5.22465,5.29323,4.25014
467.0,5.19868,5.35313,4.20539
468.0,5.19417,5.3078,4.2379
469.0,5.14779,5.29402,4.18923
470.0,5.09297,5.28458,4.26341
471.0,5.09835,5.35729,4.31111
472.0,5.0746,5.44437,4.27676
473.0,5.16478,5.51073,4.37865
474.0,5.19491,5.49769,4.39963
475.0,5.1931,5.44427,4.34197
476.0,5.21601,5.48496,4.36281
477.0,5.27486,5.49176,4.34134
478.0,5.27144,5.51493,4.34142
479.0,5.29022,5.51059,4.38403
480.0,5.24408,5.54989,4.45035
481.0,5.22096,5.64952,4.4512
482.0,5.24453,5.63306,4.3515
483.0,5.28137,5.59287,4.39551
484.0,5.2594,5.60919,4.48941
485.0,5.27077,5.54169,4.50199
486.0,5.21972,5.45172,4.45184
487.0,5.16495,5.4946,4.5016
488.0,5.16869,5.56717,4.41819
489.0,5.14682,5.56121,4.39585
490.0,5.13005,5.64429,4.43706
491.0,5.16856,5.59227,4.39112
492.0,5.18993,5.65033,4.33201
493.0,5.13998,5.71849,4.32139
494.0,5.13084,5.64235,4.25138
495.0,5.11221,5.56194,4.15699
496.0,5.2153,5.62724,4.1217
497.0,5.20086,5.57694,4.09291
498.0,5.14706,5.63833,4.16539
499.0,5.17898,5.74536,4.15833
